"season","Region","village","household","DogID","sex","health","hunt.HH","d.monitored","rr","ctmm.model","AKDE95","AKDEcore","speed","prop.HH","prop.village","space.model","p.space.cat","p.space.YN","np","p.speed.cat","p.speed.YN","nv"
"Wet","Sarh.W","Bembaya","BEM01","BEM01A","M","Good","N",21,"Y","OU anisotropic",125798,19060,NA,81,94,"OU anisotropic harmonic 4","24hr",1,35.98,NA,NA,NA
"Wet","Sarh.W","Bembaya","BEM02","BEM02A","M","Good","Y",11,"Y","OUF anisotropic",1117207,126492,1.1,43,89,"OUF anisotropic harmonic 6","None",0,NA,"6hr",1,7.39
"Wet","Sarh.W","Bembaya","BEM03","BEM03A","M","Poor","Y",43,"Y","OUF anisotropic",20061355,2526569,1.26,71,84,"OUF anisotropic harmonic 1","24hr",1,33.32,"12hr",1,13.25
"Wet","Sarh.W","Bembaya","BEM03","BEM03B","F","Good","Y",11,"Y","OUF anisotropic",6540947,579716,1.51,68,86,"OUF anisotropic harmonic 0","None",0,NA,"None",0,NA
"Wet","Sarh.W","Bembaya","BEM03","BEM03C","F","Moderate","Y",52,"Y","OUF anisotropic",17821028,2076236,1.29,74,84,"OUF anisotropic harmonic 1","24hr",1,29.9,"12hr",1,10.7
"Wet","Sarh.W","Bembaya","BEM03","BEM03D","M","Moderate","Y",50,"Y","OUF anisotropic",3486242,585858,1.09,52,89,"OUF anisotropic harmonic 1","None",0,NA,"24hr",1,3.98
"Wet","Sarh.W","Bembaya","BEM03","BEM03E","M","Moderate","Y",52,"Y","OUF anisotropic",14360791,1657200,1.16,63,85,"OUF anisotropic harmonic 7","None",0,NA,"24hr",1,12.59
"Wet","Sarh.W","Bembaya","BEM04","BEM04A","F","Moderate","Y",52,"Y","OUF anisotropic",101813,8834,1.33,88,95,"OUF anisotropic harmonic 12","24hr",1,34.36,"24hr",1,4.63
"Wet","Sarh.W","Bembaya","BEM05","BEM05A","F","Moderate","Y",36,"Y","OUF anisotropic",2338351,164039,1.32,42,77,"OUF anisotropic harmonic 2","24hr",1,35.92,"24hr",1,4.32
"Wet","Sarh.W","Bembaya","BEM06","BEM06A","F","Moderate","N",26,"Y","OUF anisotropic",358306,41867,1.18,43,89,"OUF anisotropic harmonic 3","None",0,NA,"24hr",1,2.93
"Wet","Sarh.W","Bembaya","BEM06","BEM06B","F","Moderate","N",42,"Y","OUF anisotropic",22530128,2848637,1.36,76,82,"OUF anisotropic harmonic 4","24hr",1,34.82,"12hr",1,15.83
"Wet","Sarh.W","Bembaya","BEM07","BEM07A","M","Good","N",41,"Y","OUF anisotropic",23265454,2858164,1.47,65,80,"OUF anisotropic harmonic 5","24hr",1,36.02,"12hr",1,15.5
"Wet","Sarh.E","Marabodokouya","DAN01","DAN01A","F","Poor","Y",32,"Y","OUF anisotropic",3284622,245482,1.38,6,75,"OUF anisotropic harmonic 0","None",0,NA,"None",0,NA
"Wet","Sarh.E","Marabodokouya","DAN02","DAN02A","M","Moderate","N",40,"Y","OUF anisotropic",105309,21554,0.92,91,95,"OUF anisotropic harmonic 0","None",0,NA,"None",0,NA
"Wet","Sarh.E","Marabodokouya","DAN02","DAN02B","F","Poor","N",23,"Y","OUF anisotropic",707576,164652,1.14,85,91,"OUF anisotropic harmonic 2","None",0,NA,"24hr",1,2.46
"Wet","Sarh.E","Marabodokouya","DAN03","DAN03A","M","Poor","Y",47,"Y","OUF anisotropic",1938233,117792,1.05,80,89,"OUF anisotropic harmonic 3","None",0,NA,"24hr",1,6.09
"Wet","Sarh.E","Marabodokouya","DAN04","DAN04A","M","Good","Y",8,"Y","OUF anisotropic",10194582,2128119,1.54,72,85,"OUF anisotropic harmonic 2","24hr",1,30.01,"12hr",1,9.52
