### Variables 
# Pays : Tchad
# Code : Code pays ISO3 (ex. TCD pour Tchad)
# Année : (format YYYY)
# cal_animal : Apports caloriques quotidiens issus des protéines animales (kcal/personne/jour)
# cal_vegetal : Apports caloriques quotidiens issus des protéines végétales (kcal/personne/jour)
# cal_fat : Apports caloriques quotidiens issus des matières grasses
# cal_carb : Apports caloriques quotidiens issus des glucides

# Source : FAOSTAT – Food Balance Sheets, 2025
# Licence : CC-BY-4.0 @chadainetwork
# Lien : https://github.com/Chad-AI-Network/Chadian-Data

Pays,Code,Année,cal_animal,cal_vegetal,cal_fat,cal_carb
Tchad,TCD,1961,44.849354,239.91032,506.25046,1446.5006
Tchad,TCD,1962,44.94215,255.53163,525.8588,1526.8829
Tchad,TCD,1963,45.71688,252.15715,513.7791,1530.7417
Tchad,TCD,1964,46.03965,249.28883,502.8542,1510.7452
Tchad,TCD,1965,47.31785,245.24301,512.94415,1474.0483
Tchad,TCD,1966,46.69851,240.64027,460.84998,1497.3503
Tchad,TCD,1967,45.460304,236.75092,453.9876,1504.0613
Tchad,TCD,1968,46.299137,230.78094,470.02954,1462.6218
Tchad,TCD,1969,39.04489,227.23889,452.39246,1453.022
Tchad,TCD,1970,40.27251,214.60118,440.45325,1404.7671
Tchad,TCD,1971,39.355873,205.14447,408.3371,1361.7609
Tchad,TCD,1972,42.346737,185.35179,376.18152,1267.9576
Tchad,TCD,1973,41.278667,174.30547,366.11343,1182.536
Tchad,TCD,1974,34.643818,181.13995,367.06042,1202.3525
Tchad,TCD,1975,36.44355,172.28587,345.7431,1169.5875
Tchad,TCD,1976,37.369045,166.83757,330.90854,1145.8505
Tchad,TCD,1977,40.235508,166.48343,356.8793,1125.9316
Tchad,TCD,1978,42.74194,163.20747,346.2278,1115.442
Tchad,TCD,1979,45.345146,161.3789,357.77078,1108.3354
Tchad,TCD,1980,44.840897,159.91206,358.0515,1112.0748
Tchad,TCD,1981,46.431805,159.41585,359.15625,1123.9425
Tchad,TCD,1982,44.519505,152.65579,326.85724,1117.3948
Tchad,TCD,1983,44.173183,143.53304,324.47015,1064.3014
Tchad,TCD,1984,35.808914,136.67001,365.05756,1028.3483
Tchad,TCD,1985,41.32977,161.66992,356.56155,1249.6414
Tchad,TCD,1986,47.24491,149.52011,362.88028,1102.9413
Tchad,TCD,1987,46.839497,143.98659,348.93997,1063.7117
Tchad,TCD,1988,48.377625,160.03708,358.06775,1215.101
Tchad,TCD,1989,47.985573,149.85324,385.66373,1112.2588
Tchad,TCD,1990,49.19253,144.84013,359.99615,1129.3035
Tchad,TCD,1991,50.994835,168.84415,439.64746,1170.4718
Tchad,TCD,1992,52.33778,171.89803,460.6308,1144.5417
Tchad,TCD,1993,50.56439,155.50781,435.63086,1034.3076
Tchad,TCD,1994,45.90757,198.87816,441.389,1341.7512
Tchad,TCD,1995,47.41915,172.93805,499.9073,1101.5227
Tchad,TCD,1996,48.06463,171.65366,498.6956,1100.5458
Tchad,TCD,1997,49.440273,182.57643,562.60345,1105.4647
Tchad,TCD,1998,50.176716,200.70686,563.2256,1226.7845
Tchad,TCD,1999,49.891613,198.36328,571.3873,1174.6587
Tchad,TCD,2000,51.620285,202.66188,551.51086,1151.1143
Tchad,TCD,2001,49.71398,212.02145,568.1872,1207.5027
Tchad,TCD,2002,47.890095,204.98256,572.2481,1169.9618
Tchad,TCD,2003,46.37086,211.44304,543.26807,1248.1053
Tchad,TCD,2004,44.23567,208.14893,539.63495,1244.8319
Tchad,TCD,2005,42.277943,209.50803,523.54987,1260.4911
Tchad,TCD,2006,41.205708,209.1859,499.62418,1270.3027
Tchad,TCD,2007,39.493866,203.41338,448.8837,1330.7739
Tchad,TCD,2008,38.32489,205.85712,462.82074,1307.5983
Tchad,TCD,2009,37.86331,204.4698,435.75452,1320.9133
Tchad,TCD,2010,93.27997,221.39993,624.50977,1403.8096
Tchad,TCD,2011,94.40001,214.00003,625.5901,1403.9701
Tchad,TCD,2012,95.959984,220.43997,627.2999,1450.2599
Tchad,TCD,2013,97.520004,220.04001,640.08,1426.32
Tchad,TCD,2014,103.24001,214.28003,630.2701,1377.2502
Tchad,TCD,2015,103.599945,212.4399,635.4897,1338.4692
Tchad,TCD,2016,103.079956,214.55989,629.5497,1396.7693
Tchad,TCD,2017,107.43991,214.95982,637.6494,1383.949
Tchad,TCD,2018,107.99998,212.55995,635.9399,1363.4996
Tchad,TCD,2019,109.280014,209.64003,641.3401,1338.7002
Tchad,TCD,2020,111.919945,205.35991,646.3797,1293.3396
Tchad,TCD,2021,113.199974,196.43996,634.9499,1258.4097
