# Taux : Taux de mortalité des enfants de moins de 5 ans par 100 naissances vivantes
# Variables : Pays (nom), Code (ISO3), Année, Taux
# Source : OMS, 2022
# Dernière mise à jour : 2023-09-01
# CC-BY-4.0 = @chadainetwork

Pays,Code,Année,Taux (décès pour 100 naissances vivantes)
Tchad,TCD,1973,25.136974
Tchad,TCD,1972,25.280216
Tchad,TCD,1974,24.978346
Tchad,TCD,1975,24.837614
Tchad,TCD,1976,24.693596
Tchad,TCD,1977,24.536549
Tchad,TCD,1978,24.389122
Tchad,TCD,1979,24.212412
Tchad,TCD,1980,24.01837
Tchad,TCD,1981,23.788979
Tchad,TCD,1982,23.530117
Tchad,TCD,1983,23.256447
Tchad,TCD,1984,22.967115
Tchad,TCD,1985,22.674044
Tchad,TCD,1986,22.37914
Tchad,TCD,1987,22.088211
Tchad,TCD,1988,21.790525
Tchad,TCD,1989,21.4929
Tchad,TCD,1990,21.19755
Tchad,TCD,1991,20.916157
Tchad,TCD,1992,20.635908
Tchad,TCD,1993,20.369032
Tchad,TCD,1994,20.120134
Tchad,TCD,1995,19.87542
Tchad,TCD,1996,19.635649
Tchad,TCD,1997,19.363644
Tchad,TCD,1998,19.076374
Tchad,TCD,1999,18.759602
Tchad,TCD,2000,18.43476
Tchad,TCD,2001,18.102148
Tchad,TCD,2002,17.767368
Tchad,TCD,2003,17.430159
Tchad,TCD,2004,17.092487
Tchad,TCD,2005,16.746386
Tchad,TCD,2006,16.385067
Tchad,TCD,2007,16.012737
Tchad,TCD,2008,15.628729
Tchad,TCD,2009,15.233305
Tchad,TCD,2010,14.842501
Tchad,TCD,2011,14.445577
Tchad,TCD,2012,14.063019
Tchad,TCD,2013,13.688311
Tchad,TCD,2014,13.329701
Tchad,TCD,2015,12.949101
Tchad,TCD,2016,12.58111
Tchad,TCD,2017,12.187662
Tchad,TCD,2018,11.801545
Tchad,TCD,2019,11.433528
Tchad,TCD,2020,11.052661
Tchad,TCD,2021,10.706548
